#angle Pow_R0(correct 0 point) M_R0(correct 0 point)  Pow_R1(correct 0 point) M_R1(correct 0 point) 1Rerr 0Rerr
-45 266.88	1723.44 98.12	1693.8   
-60 356.88	1983.5  51.07	1925.4   
-65 467.38	2159.9  44.75	1930     
-70 435.66	2223.1  26.37	2103.9   
-75 364.94	1883.1  19.12	1883.1   











