#angle Pow_R0(correct 0 point) M_R0(correct 0 point)  Pow_R1(correct 0 point) M_R1(correct 0 point) 1Rerr 0Rerr
-45 266.88	17234.4 98.12	16938   
-60 356.88	19835  51.07	19254   
-65 467.38	21599  44.75	19300    
-70 435.66	22231  26.37	21039   
-75 364.94	18831  19.12	18831   











