#angle Pow_R0(correct 0 point) M_R0(correct 0 point)  Pow_R1(correct 0 point) M_R1(correct 0 point) 1Rerr 0Rerr
-45 266.88	1723.44 98.12	1693.8   7.874105042573605398e-03
-60 356.88	1983.5  51.07	1925.4   5.332016832024271714e-03
-65 467.38	2159.9  44.75	1930     4.936853523604804207e-03
-70 435.66	2223.1  26.37	2103.9   3.119337024569180696e-03
-75 364.94	1883.1  19.12	1883.1   2.498409391347641405e-03











